Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,31,847,False,0,796
1,DLDUD,16,31,699,Correct,0,709
1,PDPGP,16,31,873,Correct,0,880
1,MWMWM,15,30,734,Correct,0,927
1,FTFTF,15,30,1263,Correct,0,707
1,AXAMA,16,31,890,Correct,0,767
1,RYRGR,16,31,1185,Correct,0,844
1,DODOD,15,30,636,Correct,0,772
1,QTQAQ,16,31,571,Correct,0,882
1,YEYEY,15,30,620,Correct,0,868
1,SKSKS,15,30,853,Correct,0,682
1,DLDUD,16,31,736,Correct,0,741
1,PDPGP,16,31,914,Correct,0,663
1,MWMWM,15,30,824,Correct,0,865
1,FTFTF,15,30,1058,Correct,0,847
1,AXAMA,16,31,1015,Correct,0,664
1,RYRGR,16,31,1038,Correct,0,745
1,DODOD,15,30,592,Correct,0,782
1,QTQAQ,16,31,667,Correct,0,667
1,YEYEY,15,31,521,False,0,823
AT Practice
1,TKTKT,15,31,969,False,0,700
1,SLSUS,16,31,722,Correct,0,693
1,VBVGV,71,32,794,Correct,0,932
1,XWXBX,72,33,871,Correct,0,760
1,ATATA,15,30,866,Correct,0,787
1,HXBMH,16,31,1309,Correct,0,750
1,TBTBT,7,30,808,False,0,657
1,UOUOU,15,30,688,Correct,0,864
1,BTWAW,16,31,590,Correct,0,860
1,RBRER,71,32,834,Correct,0,777
1,TKTKT,15,30,839,Correct,0,874
1,SLSUS,16,31,937,Correct,0,918
1,VBVGV,71,32,1018,Correct,0,904
1,XWXBX,72,,,False,0,652
1,ATATA,15,31,1148,False,0,814
